season,team,conference,stat_name,stat_value
2024,Arkansas,SEC,totalYards,3183
2024,Tennessee,SEC,fumblesLost,4
2024,Vanderbilt,SEC,games,12
2024,Georgia,SEC,passCompletions,175
2024,Georgia,SEC,passAttempts,262
2024,Kentucky,SEC,rushingYards,1068
2024,Texas A&M,SEC,fumblesRecovered,2
2024,Vanderbilt,SEC,rushingAttempts,282
2024,Ole Miss,SEC,sacks,24
2024,Auburn,SEC,passAttempts,204
2024,Georgia,SEC,interceptions,8
2024,Missouri,SEC,passesIntercepted,5
2024,Arkansas,SEC,puntReturnYards,47
2024,Mississippi State,SEC,firstDowns,147
2024,Alabama,SEC,fumblesRecovered,7
2024,Kentucky,SEC,tacklesForLoss,45
2024,Alabama,SEC,rushingAttempts,248
2024,Oklahoma,SEC,kickReturnTDs,0
2024,Arkansas,SEC,thirdDownConversions,51
2024,LSU,SEC,totalYards,3153
2024,Florida,SEC,passingTDs,11
2024,Ole Miss,SEC,puntReturnTDs,0
2024,Vanderbilt,SEC,kickReturns,7
2024,Auburn,SEC,interceptionYards,52
2024,South Carolina,SEC,kickReturnTDs,0
2024,Vanderbilt,SEC,penaltyYards,420
2024,Georgia,SEC,thirdDowns,89
2024,Alabama,SEC,thirdDowns,82
2024,Kentucky,SEC,interceptionYards,100
2024,Florida,SEC,netPassingYards,1845
2024,Alabama,SEC,totalYards,2968
2024,Oklahoma,SEC,passCompletions,126
2024,Alabama,SEC,interceptions,6
2024,Arkansas,SEC,passingTDs,6
2024,Mississippi State,SEC,tacklesForLoss,25
2024,Mississippi State,SEC,rushingTDs,9
2024,Kentucky,SEC,passingTDs,6
2024,Kentucky,SEC,firstDowns,142
2024,Missouri,SEC,puntReturns,7
2024,Texas A&M,SEC,passesIntercepted,8
2024,Ole Miss,SEC,possessionTime,11509
2024,Oklahoma,SEC,passAttempts,212
2024,Mississippi State,SEC,turnovers,7
2024,Oklahoma,SEC,interceptionTDs,1
2024,Missouri,SEC,totalYards,2958
2024,Kentucky,SEC,penalties,43
2024,Georgia,SEC,puntReturnYards,118
2024,Oklahoma,SEC,rushingTDs,7
2024,South Carolina,SEC,rushingAttempts,305
2024,Kentucky,SEC,passesIntercepted,6
2024,Ole Miss,SEC,passesIntercepted,7
2024,Texas,SEC,fourthDowns,14
2024,Kentucky,SEC,puntReturnYards,52
2024,Texas A&M,SEC,games,12
2024,Auburn,SEC,tacklesForLoss,40
2024,Texas,SEC,penaltyYards,347
2024,Florida,SEC,kickReturnTDs,0
2024,Texas,SEC,kickReturnYards,175
2024,Georgia,SEC,kickReturnYards,105
2024,Vanderbilt,SEC,fumblesRecovered,2
2024,South Carolina,SEC,puntReturnYards,111
2024,Kentucky,SEC,interceptions,7
2024,Missouri,SEC,passCompletions,158
2024,Vanderbilt,SEC,passesIntercepted,6
2024,Tennessee,SEC,rushingYards,1697
2024,Ole Miss,SEC,fumblesRecovered,4
